GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
book-plus-auth-service,com.bookplus.auth.config,OpenApiConfig,56,0,0,0,15,0,2,0,2,0
book-plus-auth-service,com.bookplus.auth.config,KafkaConfig,74,0,0,0,20,0,5,0,5,0
book-plus-auth-service,com.bookplus.auth.config,SecurityConfig,162,30,0,0,28,7,5,1,5,1
book-plus-auth-service,com.bookplus.auth.adapter.in.web.dto.request,LoginRequest,9,0,0,0,1,0,1,0,1,0
book-plus-auth-service,com.bookplus.auth.adapter.in.web.dto.request,RegisterRequest,12,0,0,0,1,0,1,0,1,0
book-plus-auth-service,com.bookplus.auth.adapter.in.web.dto.request,ResetPasswordRequest,9,0,0,0,1,0,1,0,1,0
book-plus-auth-service,com.bookplus.auth.adapter.in.web.dto.request,ForgotPasswordRequest,6,0,0,0,1,0,1,0,1,0
book-plus-auth-service,com.bookplus.auth.adapter.in.web.dto.request,RefreshTokenRequest,6,0,0,0,1,0,1,0,1,0
book-plus-auth-service,com.bookplus.auth.application.usecase,RegisterUserUseCaseImpl,2,146,0,4,1,33,0,4,0,2
book-plus-auth-service,com.bookplus.auth.application.usecase,AccountUseCaseImpl,106,0,10,0,18,0,10,0,5,0
book-plus-auth-service,com.bookplus.auth.application.usecase,LogoutUseCaseImpl,38,0,0,0,11,0,3,0,3,0
book-plus-auth-service,com.bookplus.auth.application.usecase,AuthenticateUserUseCaseImpl,117,0,6,0,27,0,5,0,2,0
book-plus-auth-service,com.bookplus.auth.application.usecase,ResetPasswordUseCaseImpl,87,0,4,0,18,0,6,0,4,0
book-plus-auth-service,com.bookplus.auth.application.usecase,RefreshTokenUseCaseImpl,130,0,6,0,30,0,7,0,4,0
book-plus-auth-service,com.bookplus.auth.application.usecase,AdminUserUseCaseImpl,262,0,26,0,49,0,24,0,11,0
book-plus-auth-service,com.bookplus.auth.application.usecase,ForgotPasswordUseCaseImpl,86,0,0,0,20,0,3,0,3,0
book-plus-auth-service,com.bookplus.auth.shared.web,ApiResponse,39,0,0,0,4,0,4,0,4,0
book-plus-auth-service,com.bookplus.auth.shared.security,JwtConfig.RsaKeyProperties,27,0,4,0,6,0,3,0,1,0
book-plus-auth-service,com.bookplus.auth.shared.security,JwtConfig.JwtProperties,15,0,0,0,1,0,1,0,1,0
book-plus-auth-service,com.bookplus.auth.shared.security,RateLimitFilter,83,0,10,0,17,0,9,0,4,0
book-plus-auth-service,com.bookplus.auth.shared.security,JwtConfig,108,0,8,0,28,0,10,0,6,0
book-plus-auth-service,com.bookplus.auth.shared.security,AuthRateLimiter,0,46,0,0,0,11,0,4,0,4
book-plus-auth-service,com.bookplus.auth.shared.security,JwtAuthFilter,90,0,8,0,23,0,7,0,3,0
book-plus-auth-service,com.bookplus.auth.shared.security,JwtService,202,8,4,0,51,2,13,1,11,1
book-plus-auth-service,com.bookplus.auth.adapter.in.web.dto.response,AuthResponse,51,0,0,0,10,0,2,0,2,0
book-plus-auth-service,com.bookplus.auth.shared.security.lockout,RedisLoginAttemptStore,54,0,6,0,12,0,8,0,5,0
book-plus-auth-service,com.bookplus.auth.shared.security.lockout,LoginAttemptService,2,94,1,3,0,17,1,8,0,7
book-plus-auth-service,com.bookplus.auth.adapter.out.kafka,KafkaEventPublisherAdapter,110,0,2,0,20,0,5,0,4,0
book-plus-auth-service,com.bookplus.auth.domain.port.in,AuthResult,0,27,0,0,0,1,0,1,0,1
book-plus-auth-service,com.bookplus.auth.domain.port.in,RefreshTokenUseCase.RefreshCommand,12,0,0,0,1,0,1,0,1,0
book-plus-auth-service,com.bookplus.auth.domain.port.in,ForgotPasswordUseCase.ForgotPasswordCommand,6,0,0,0,1,0,1,0,1,0
