GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
book-plus-cart-service,com.bookplus.cart.adapter.in.web.dto,UpdateQuantityRequest,6,0,0,0,1,0,1,0,1,0
book-plus-cart-service,com.bookplus.cart.adapter.in.web.dto,CartResponse,52,0,0,0,12,0,2,0,2,0
book-plus-cart-service,com.bookplus.cart.adapter.in.web.dto,CartItemResponse,51,0,0,0,10,0,2,0,2,0
book-plus-cart-service,com.bookplus.cart.adapter.in.web.dto,CheckoutRequest,58,0,2,0,11,0,4,0,3,0
book-plus-cart-service,com.bookplus.cart.adapter.in.web.dto,CheckoutRequest.ShippingAddress,21,0,0,0,1,0,1,0,1,0
book-plus-cart-service,com.bookplus.cart.adapter.in.web.dto,AddItemRequest,24,0,0,0,1,0,1,0,1,0
book-plus-cart-service,com.bookplus.cart.domain.event,CartItemRemovedEvent,0,30,0,0,0,3,0,2,0,2
book-plus-cart-service,com.bookplus.cart.domain.event,DomainEvent,4,0,0,0,1,0,1,0,1,0
book-plus-cart-service,com.bookplus.cart.domain.event,CartCheckedOutEvent,0,55,0,0,0,4,0,2,0,2
book-plus-cart-service,com.bookplus.cart.domain.event,CartItemAddedEvent,0,38,0,0,0,3,0,2,0,2
book-plus-cart-service,com.bookplus.cart.domain.event,CartClearedEvent,0,26,0,0,0,3,0,2,0,2
book-plus-cart-service,com.bookplus.cart.domain.event,CartCheckedOutEvent.ShippingAddressDto,0,21,0,0,0,1,0,1,0,1
book-plus-cart-service,com.bookplus.cart.adapter.out.persistence,CartRedisDto,77,0,2,0,16,0,4,0,3,0
book-plus-cart-service,com.bookplus.cart.adapter.out.persistence,RedisCartAdapter,130,0,4,0,27,0,11,0,9,0
book-plus-cart-service,com.bookplus.cart.adapter.out.persistence,CartRedisDto.ItemDto,63,0,0,0,12,0,3,0,3,0
book-plus-cart-service,com.bookplus.cart.application.usecase,AddItemToCartUseCaseImpl,0,75,0,0,0,18,0,3,0,3
book-plus-cart-service,com.bookplus.cart.application.usecase,GetCartUseCaseImpl,26,0,0,0,5,0,3,0,3,0
book-plus-cart-service,com.bookplus.cart.application.usecase,ClearCartUseCaseImpl,38,0,0,0,10,0,3,0,3,0
book-plus-cart-service,com.bookplus.cart.application.usecase,UpdateItemQuantityUseCaseImpl,42,0,0,0,10,0,3,0,3,0
book-plus-cart-service,com.bookplus.cart.application.usecase,RemoveItemFromCartUseCaseImpl,41,0,0,0,10,0,3,0,3,0
book-plus-cart-service,com.bookplus.cart.application.usecase,CheckoutCartUseCaseImpl,0,50,0,0,0,11,0,3,0,3
book-plus-cart-service,com.bookplus.cart.domain.port.in,AddItemToCartUseCase.AddItemCommand,0,24,0,0,0,1,0,1,0,1
book-plus-cart-service,com.bookplus.cart.domain.exception,CartNotFoundException,0,5,0,0,0,2,0,1,0,1
book-plus-cart-service,com.bookplus.cart.domain.exception,DomainException,0,4,0,0,0,1,0,1,0,1
book-plus-cart-service,com.bookplus.cart.config,SecurityConfig,124,0,0,0,25,0,9,0,9,0
book-plus-cart-service,com.bookplus.cart.config,RedisConfig,40,0,0,0,13,0,3,0,3,0
book-plus-cart-service,com.bookplus.cart.config,KafkaConfig,31,0,0,0,5,0,3,0,3,0
book-plus-cart-service,com.bookplus.cart.config,OpenApiConfig,3,0,0,0,1,0,1,0,1,0
book-plus-cart-service,com.bookplus.cart.shared.idempotency,IdempotencyService,9,70,1,5,2,16,2,7,1,5
book-plus-cart-service,com.bookplus.cart.shared.idempotency,RedisIdempotencyStore,40,0,0,0,10,0,5,0,5,0
book-plus-cart-service,com.bookplus.cart.shared.idempotency,IdempotencyService.Decision,0,21,0,0,0,1,0,1,0,1
book-plus-cart-service,com.bookplus.cart.adapter.in.web,CartController,154,0,17,0,35,0,15,0,6,0
book-plus-cart-service,com.bookplus.cart.adapter.in.web,GlobalExceptionHandler,100,0,2,0,20,0,11,0,10,0
book-plus-cart-service,com.bookplus.cart,CartServiceApplication,8,0,0,0,3,0,2,0,2,0
book-plus-cart-service,com.bookplus.cart.domain.model,BookId,5,20,0,0,1,3,1,3,1,3
book-plus-cart-service,com.bookplus.cart.domain.model,Cart,109,260,7,13,18,55,15,19,11,13
book-plus-cart-service,com.bookplus.cart.domain.model,CartId,20,18,0,0,4,2,4,2,4,2
book-plus-cart-service,com.bookplus.cart.domain.model,Money,7,83,0,4,1,13,1,7,1,5
book-plus-cart-service,com.bookplus.cart.domain.model,CartItemId,15,15,0,0,3,2,3,2,3,2
book-plus-cart-service,com.bookplus.cart.domain.model,CartItem,20,99,0,4,4,24,4,13,4,11
book-plus-cart-service,com.bookplus.cart.shared.web,ApiResponse,26,0,0,0,3,0,3,0,3,0
book-plus-cart-service,com.bookplus.cart.adapter.out.messaging,KafkaEventPublisherAdapter,125,0,6,0,25,0,7,0,4,0
