GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
book-plus-catalog-service,com.bookplus.catalog.adapter.out.cache,RedisCacheAdapter,98,7,6,0,25,2,7,1,4,1
book-plus-catalog-service,com.bookplus.catalog.adapter.out.cache,TwoLevelCacheAdapter,8,69,0,2,3,21,1,7,1,6
book-plus-catalog-service,com.bookplus.catalog.shared.featureflags,FeatureFlags,0,9,0,0,0,2,0,1,0,1
book-plus-catalog-service,com.bookplus.catalog.adapter.out.messaging,KafkaEventPublisherAdapter,101,0,4,0,19,0,6,0,4,0
book-plus-catalog-service,com.bookplus.catalog.application.usecase,UpdateCategoryUseCaseImpl,67,0,2,0,12,0,5,0,4,0
book-plus-catalog-service,com.bookplus.catalog.application.usecase,CreateCategoryUseCaseImpl,83,0,8,0,19,0,7,0,3,0
book-plus-catalog-service,com.bookplus.catalog.application.usecase,SearchBooksUseCaseImpl,0,52,0,2,0,6,0,3,0,2
book-plus-catalog-service,com.bookplus.catalog.application.usecase,UpdateBookUseCaseImpl,119,0,2,0,21,0,5,0,4,0
book-plus-catalog-service,com.bookplus.catalog.application.usecase,AddReviewUseCaseImpl,8,138,0,4,2,33,0,5,0,3
book-plus-catalog-service,com.bookplus.catalog.application.usecase,GetBookUseCaseImpl,99,0,0,0,18,0,9,0,9,0
book-plus-catalog-service,com.bookplus.catalog.application.usecase,ListCategoriesUseCaseImpl,21,0,0,0,5,0,3,0,3,0
book-plus-catalog-service,com.bookplus.catalog.application.usecase,CreateBookUseCaseImpl,9,107,2,4,0,21,2,4,0,3
book-plus-catalog-service,com.bookplus.catalog.application.usecase,DeleteCategoryUseCaseImpl,55,0,2,0,13,0,4,0,3,0
book-plus-catalog-service,com.bookplus.catalog.application.usecase,DeleteBookUseCaseImpl,46,0,0,0,10,0,3,0,3,0
book-plus-catalog-service,com.bookplus.catalog.application.usecase,ListBooksUseCaseImpl,5,0,0,0,1,0,1,0,1,0
book-plus-catalog-service,com.bookplus.catalog.application.usecase,GetBookReviewsUseCaseImpl,31,0,0,0,3,0,2,0,2,0
book-plus-catalog-service,com.bookplus.catalog.adapter.out.persistence.mapper,CategoryPersistenceMapper,69,0,4,0,22,0,5,0,3,0
book-plus-catalog-service,com.bookplus.catalog.adapter.out.persistence.mapper,BookPersistenceMapper,143,0,4,0,47,0,5,0,3,0
book-plus-catalog-service,com.bookplus.catalog.adapter.out.persistence.mapper,ReviewPersistenceMapper,54,0,0,0,20,0,3,0,3,0
book-plus-catalog-service,com.bookplus.catalog.config,RedisConfig,40,0,0,0,13,0,3,0,3,0
book-plus-catalog-service,com.bookplus.catalog.config,KafkaConfig,192,0,0,0,36,0,11,0,11,0
book-plus-catalog-service,com.bookplus.catalog.config,EtagConfig,29,0,0,0,5,0,2,0,2,0
book-plus-catalog-service,com.bookplus.catalog.config,SecurityConfig,208,0,4,0,41,0,12,0,10,0
book-plus-catalog-service,com.bookplus.catalog.config,OpenApiConfig,56,0,0,0,17,0,2,0,2,0
book-plus-catalog-service,com.bookplus.catalog.adapter.in.messaging,OrderPaymentConfirmedConsumer,129,0,18,0,27,0,13,0,4,0
book-plus-catalog-service,com.bookplus.catalog.adapter.in.messaging,DigitalAccessRevokedConsumer,33,84,5,11,4,21,4,9,0,5
book-plus-catalog-service,com.bookplus.catalog.shared.web,ApiResponse,39,0,0,0,4,0,4,0,4,0
book-plus-catalog-service,com.bookplus.catalog.domain.exception,BookAlreadyExistsException,0,5,0,0,0,2,0,1,0,1
book-plus-catalog-service,com.bookplus.catalog.domain.exception,BookNotFoundException,0,5,0,0,0,2,0,1,0,1
book-plus-catalog-service,com.bookplus.catalog.domain.exception,CategoryAlreadyExistsException,5,0,0,0,2,0,1,0,1,0
book-plus-catalog-service,com.bookplus.catalog.domain.exception,CategoryNotFoundException,0,5,0,0,0,2,0,1,0,1
book-plus-catalog-service,com.bookplus.catalog.domain.exception,DomainException,0,4,0,0,0,1,0,1,0,1
book-plus-catalog-service,com.bookplus.catalog.adapter.out.persistence,BookPersistenceAdapter,151,0,10,0,27,0,11,0,6,0
book-plus-catalog-service,com.bookplus.catalog.adapter.out.persistence,CategoryPersistenceAdapter,70,0,0,0,8,0,6,0,6,0
book-plus-catalog-service,com.bookplus.catalog.adapter.out.persistence,ReviewPersistenceAdapter,63,0,0,0,15,0,3,0,3,0
book-plus-catalog-service,com.bookplus.catalog.adapter.in.web.preview,BookCoverController,119,0,10,0,28,0,10,0,5,0
book-plus-catalog-service,com.bookplus.catalog.adapter.in.web.preview,PdfPreviewService,139,0,10,0,33,0,8,0,3,0
book-plus-catalog-service,com.bookplus.catalog.adapter.in.web.preview,BookPreviewController,165,0,14,0,29,0,15,0,8,0
book-plus-catalog-service,com.bookplus.catalog.domain.event,BookUpdatedEvent,0,42,0,0,0,3,0,2,0,2
book-plus-catalog-service,com.bookplus.catalog.domain.event,ReviewAddedEvent,0,38,0,0,0,3,0,2,0,2
book-plus-catalog-service,com.bookplus.catalog.domain.event,BookDeletedEvent,0,26,0,0,0,3,0,2,0,2
book-plus-catalog-service,com.bookplus.catalog.domain.event,BookCreatedEvent,0,42,0,0,0,3,0,2,0,2
book-plus-catalog-service,com.bookplus.catalog.domain.model,Slug,3,46,0,2,1,13,1,4,1,3
book-plus-catalog-service,com.bookplus.catalog.domain.model,Money,0,125,0,6,0,19,0,12,0,9
book-plus-catalog-service,com.bookplus.catalog.domain.model,Category,21,163,2,10,3,38,5,18,3,14
book-plus-catalog-service,com.bookplus.catalog.domain.model,Review,38,60,2,2,9,14,10,3,8,3
book-plus-catalog-service,com.bookplus.catalog.domain.model,Rating,0,35,0,6,0,7,0,7,0,4
book-plus-catalog-service,com.bookplus.catalog.domain.model,BookId,5,25,0,0,1,4,1,4,1,4
book-plus-catalog-service,com.bookplus.catalog.domain.model,CategoryId,9,21,0,0,2,3,2,3,2,3
book-plus-catalog-service,com.bookplus.catalog.domain.model,ReviewId,15,15,0,0,3,2,3,2,3,2
book-plus-catalog-service,com.bookplus.catalog.domain.model,ISBN,0,90,0,12,0,16,0,10,0,4
book-plus-catalog-service,com.bookplus.catalog.domain.model,Book,133,402,13,19,20,90,27,29,16,24
book-plus-catalog-service,com.bookplus.catalog.domain.port.in,UpdateBookUseCase.UpdateBookCommand,42,0,0,0,1,0,1,0,1,0
book-plus-catalog-service,com.bookplus.catalog.domain.port.in,CreateCategoryUseCase.CreateCategoryCommand,15,0,0,0,1,0,1,0,1,0
book-plus-catalog-service,com.bookplus.catalog.domain.port.in,CreateBookUseCase.CreateBookCommand,0,45,0,0,0,1,0,1,0,1
book-plus-catalog-service,com.bookplus.catalog.domain.port.in,UpdateCategoryUseCase.UpdateCategoryCommand,12,0,0,0,1,0,1,0,1,0
book-plus-catalog-service,com.bookplus.catalog.domain.port.in,PagedResult,34,24,6,0,2,1,4,1,1,1
book-plus-catalog-service,com.bookplus.catalog.domain.port.in,ListBooksUseCase.ListBooksQuery,29,0,6,0,5,0,4,0,1,0
book-plus-catalog-service,com.bookplus.catalog.domain.port.in,SearchBooksUseCase.SearchQuery,6,20,3,3,0,5,3,1,0,1
book-plus-catalog-service,com.bookplus.catalog.domain.port.in,AddReviewUseCase.AddReviewCommand,0,21,0,0,0,1,0,1,0,1
book-plus-catalog-service,com.bookplus.catalog.adapter.in.web,BookController,70,0,0,0,15,0,5,0,5,0
book-plus-catalog-service,com.bookplus.catalog.adapter.in.web,CategoryController,25,0,0,0,6,0,2,0,2,0
book-plus-catalog-service,com.bookplus.catalog.adapter.in.web,LibraryController.ConsumptionResponse,12,0,0,0,1,0,1,0,1,0
book-plus-catalog-service,com.bookplus.catalog.adapter.in.web,FavoritesController,82,0,2,0,16,0,7,0,6,0
book-plus-catalog-service,com.bookplus.catalog.adapter.in.web,ReviewController,41,0,4,0,11,0,3,0,1,0
