GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
book-plus-inventory-service,com.bookplus.inventory.shared.web,ApiResponse,26,0,0,0,3,0,3,0,3,0
book-plus-inventory-service,com.bookplus.inventory.adapter.in.messaging,OrderEventConsumer,409,0,22,0,79,0,19,0,8,0
book-plus-inventory-service,com.bookplus.inventory.domain.model,StockReservation,18,191,5,17,2,46,7,23,2,17
book-plus-inventory-service,com.bookplus.inventory.domain.model,Stock,171,400,19,19,23,77,28,20,13,16
book-plus-inventory-service,com.bookplus.inventory.domain.model,MovementId,15,15,0,0,3,2,3,2,3,2
book-plus-inventory-service,com.bookplus.inventory.domain.model,MovementType,0,33,0,0,0,2,0,1,0,1
book-plus-inventory-service,com.bookplus.inventory.domain.model,BookId,5,25,0,0,1,4,1,4,1,4
book-plus-inventory-service,com.bookplus.inventory.domain.model,ReservationStatus,0,27,0,0,0,5,0,1,0,1
book-plus-inventory-service,com.bookplus.inventory.domain.model,StockMovement,40,59,1,1,9,16,9,4,8,4
book-plus-inventory-service,com.bookplus.inventory.domain.model,ReservationId,5,25,0,0,1,4,1,4,1,4
book-plus-inventory-service,com.bookplus.inventory.domain.model,StockId,15,15,0,0,3,2,3,2,3,2
book-plus-inventory-service,com.bookplus.inventory.domain.exception,ReservationNotFoundException,0,5,0,0,0,2,0,1,0,1
book-plus-inventory-service,com.bookplus.inventory.domain.exception,StockNotFoundException,0,5,0,0,0,2,0,1,0,1
book-plus-inventory-service,com.bookplus.inventory.domain.exception,DomainException,0,4,0,0,0,1,0,1,0,1
book-plus-inventory-service,com.bookplus.inventory.domain.exception,InsufficientStockException,0,9,0,0,0,2,0,1,0,1
book-plus-inventory-service,com.bookplus.inventory.adapter.out.messaging,KafkaEventPublisherAdapter,103,0,4,0,18,0,6,0,4,0
book-plus-inventory-service,com.bookplus.inventory.adapter.out.persistence.mapper,StockPersistenceMapper,169,0,0,0,65,0,7,0,7,0
book-plus-inventory-service,com.bookplus.inventory,InventoryServiceApplication,8,0,0,0,3,0,2,0,2,0
book-plus-inventory-service,com.bookplus.inventory.adapter.in.web.dto,AdjustStockRequest,12,0,0,0,1,0,1,0,1,0
book-plus-inventory-service,com.bookplus.inventory.adapter.in.web.dto,MovementResponse,56,0,0,0,11,0,2,0,2,0
book-plus-inventory-service,com.bookplus.inventory.adapter.in.web.dto,StockResponse,65,0,2,0,12,0,3,0,2,0
book-plus-inventory-service,com.bookplus.inventory.adapter.in.web.dto,AddStockRequest,12,0,0,0,1,0,1,0,1,0
book-plus-inventory-service,com.bookplus.inventory.adapter.in.web.dto,InitializeStockRequest,12,0,0,0,1,0,1,0,1,0
