GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
book-plus-notification-service,com.bookplus.notification.domain.port.in,SendNotificationUseCase.SendNotificationCommand,0,24,0,0,0,1,0,1,0,1
book-plus-notification-service,com.bookplus.notification.application.service,EmailTemplateService,212,0,0,0,25,0,13,0,13,0
book-plus-notification-service,com.bookplus.notification.adapter.out.persistence,NotificationPersistenceAdapter,119,0,0,0,35,0,7,0,7,0
book-plus-notification-service,com.bookplus.notification.domain.model,NotificationType,0,69,0,0,0,12,0,1,0,1
book-plus-notification-service,com.bookplus.notification.domain.model,Notification,23,59,0,0,5,19,1,4,1,4
book-plus-notification-service,com.bookplus.notification.domain.model,NotificationId,15,11,0,0,3,2,3,2,3,2
book-plus-notification-service,com.bookplus.notification.domain.model,NotificationChannel,0,21,0,0,0,4,0,1,0,1
book-plus-notification-service,com.bookplus.notification.domain.model,NotificationStatus,0,21,0,0,0,4,0,1,0,1
book-plus-notification-service,com.bookplus.notification,NotificationServiceApplication,8,0,0,0,3,0,2,0,2,0
book-plus-notification-service,com.bookplus.notification.config,OpenApiConfig,3,0,0,0,1,0,1,0,1,0
book-plus-notification-service,com.bookplus.notification.config,SecurityConfig,118,0,0,0,24,0,9,0,9,0
book-plus-notification-service,com.bookplus.notification.config,KafkaConfig,82,0,0,0,12,0,6,0,6,0
book-plus-notification-service,com.bookplus.notification.adapter.out.email,JavaMailEmailAdapter,48,0,0,0,13,0,2,0,2,0
book-plus-notification-service,com.bookplus.notification.adapter.in.messaging,PaymentEventConsumer,218,0,2,0,46,0,6,0,5,0
book-plus-notification-service,com.bookplus.notification.adapter.in.messaging,InventoryEventConsumer,59,0,0,0,11,0,2,0,2,0
book-plus-notification-service,com.bookplus.notification.adapter.in.messaging,OrderEventConsumer,223,0,22,0,52,0,21,0,4,0
book-plus-notification-service,com.bookplus.notification.adapter.in.web,NotificationController,77,0,4,0,11,0,4,0,2,0
book-plus-notification-service,com.bookplus.notification.adapter.in.web,NotificationController.PagedNotificationResponse,18,0,0,0,1,0,1,0,1,0
book-plus-notification-service,com.bookplus.notification.adapter.in.web,GlobalExceptionHandler,84,0,2,0,17,0,9,0,8,0
book-plus-notification-service,com.bookplus.notification.adapter.in.web,NotificationController.NotificationResponse,56,0,0,0,11,0,2,0,2,0
book-plus-notification-service,com.bookplus.notification.application.usecase,SendNotificationUseCaseImpl,0,91,0,2,0,19,0,3,0,2
book-plus-notification-service,com.bookplus.notification.application.usecase,GetNotificationsUseCaseImpl,22,0,0,0,4,0,4,0,4,0
