GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
book-plus-order-service,com.bookplus.order.domain.policy,RefundPolicy,6,82,1,17,2,19,3,12,2,4
book-plus-order-service,com.bookplus.order.domain.policy,RefundOutcome,0,21,0,0,0,4,0,1,0,1
book-plus-order-service,com.bookplus.order.domain.policy,RefundContext,7,43,2,4,1,4,3,4,1,3
book-plus-order-service,com.bookplus.order.domain.policy,RefundDecision,2,49,2,4,0,7,2,8,0,7
book-plus-order-service,com.bookplus.order.domain.exception,OrderNotFoundException,0,5,0,0,0,2,0,1,0,1
book-plus-order-service,com.bookplus.order.domain.exception,InvalidOrderTransitionException,0,8,0,0,0,2,0,1,0,1
book-plus-order-service,com.bookplus.order.domain.exception,DomainException,0,4,0,0,0,1,0,1,0,1
book-plus-order-service,com.bookplus.order.domain.exception,OrderNotCancellableException,0,7,0,0,0,2,0,1,0,1
book-plus-order-service,com.bookplus.order.adapter.in.messaging,IdempotencyGuard,51,4,4,0,16,1,4,1,2,1
book-plus-order-service,com.bookplus.order.adapter.in.messaging,PaymentEventConsumer,81,0,4,0,20,0,5,0,3,0
book-plus-order-service,com.bookplus.order.adapter.in.messaging,CartEventConsumer,31,227,4,8,3,42,4,6,0,4
book-plus-order-service,com.bookplus.order.domain.event,OrderRefundedEvent,6,19,0,0,2,7,2,1,2,1
book-plus-order-service,com.bookplus.order.domain.event,DigitalAccessRevokedEvent.Item,6,0,0,0,1,0,1,0,1,0
book-plus-order-service,com.bookplus.order.domain.event,DigitalAccessRevokedEvent,22,0,0,0,8,0,3,0,3,0
book-plus-order-service,com.bookplus.order.domain.event,OrderCancelledEvent,6,19,0,0,2,7,2,1,2,1
book-plus-order-service,com.bookplus.order.domain.event,OrderCreatedEvent.Item,0,18,0,0,0,1,0,1,0,1
book-plus-order-service,com.bookplus.order.domain.event,OrderRefundedEvent.Item,0,9,0,0,0,1,0,1,0,1
book-plus-order-service,com.bookplus.order.domain.event,OrderPaymentConfirmedEvent,6,19,0,0,2,7,2,1,2,1
book-plus-order-service,com.bookplus.order.domain.event,OrderStatusChangedEvent,6,21,0,0,2,8,2,1,2,1
book-plus-order-service,com.bookplus.order.domain.event,OrderCancelledEvent.Item,0,9,0,0,0,1,0,1,0,1
book-plus-order-service,com.bookplus.order.domain.event,OrderPaymentConfirmedEvent.Item,0,9,0,0,0,1,0,1,0,1
book-plus-order-service,com.bookplus.order.domain.event,OrderCreatedEvent,6,25,0,0,2,9,2,1,2,1
book-plus-order-service,com.bookplus.order.domain.port.in,CreateOrderUseCase.CreateOrderCommand,0,36,0,0,0,1,0,1,0,1
