GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
book-plus-payment-service,com.bookplus.payment.application.usecase,ProcessPaymentUseCaseImpl,0,84,0,0,0,21,0,6,0,6
book-plus-payment-service,com.bookplus.payment.application.usecase,RefundPaymentUseCaseImpl,0,66,0,0,0,12,0,3,0,3
book-plus-payment-service,com.bookplus.payment.application.usecase,InitiatePaymentUseCaseImpl,4,113,1,1,1,20,1,3,0,3
book-plus-payment-service,com.bookplus.payment.application.usecase,GetPaymentUseCaseImpl,29,0,0,0,4,0,4,0,4,0
book-plus-payment-service,com.bookplus.payment.adapter.out.persistence,PaymentPersistenceAdapter,101,0,0,0,30,0,5,0,5,0
book-plus-payment-service,com.bookplus.payment,PaymentServiceApplication,8,0,0,0,3,0,2,0,2,0
book-plus-payment-service,com.bookplus.payment.domain.exception,DomainException,0,4,0,0,0,1,0,1,0,1
book-plus-payment-service,com.bookplus.payment.domain.exception,UnsupportedPaymentMethodException,6,0,0,0,2,0,1,0,1,0
book-plus-payment-service,com.bookplus.payment.domain.exception,PaymentAlreadyExistsException,0,5,0,0,0,2,0,1,0,1
book-plus-payment-service,com.bookplus.payment.domain.exception,InvalidPaymentTransitionException,0,8,0,0,0,2,0,1,0,1
book-plus-payment-service,com.bookplus.payment.domain.exception,PaymentNotFoundException,0,5,0,0,0,1,0,1,0,1
book-plus-payment-service,com.bookplus.payment.adapter.in.web,PaymentController,124,0,19,0,19,0,15,0,5,0
book-plus-payment-service,com.bookplus.payment.adapter.in.web,GlobalExceptionHandler,108,0,2,0,21,0,12,0,11,0
book-plus-payment-service,com.bookplus.payment.adapter.out.messaging,KafkaEventPublisherAdapter,115,0,6,0,22,0,6,0,3,0
book-plus-payment-service,com.bookplus.payment.adapter.in.web.dto,GatewayWebhookRequest,15,0,0,0,1,0,1,0,1,0
book-plus-payment-service,com.bookplus.payment.adapter.in.web.dto,PaymentResponse,67,0,0,0,13,0,2,0,2,0
book-plus-payment-service,com.bookplus.payment.domain.service,PaymentAuthorization,7,19,0,0,1,2,1,2,1,2
book-plus-payment-service,com.bookplus.payment.config,KafkaConfig,110,0,0,0,16,0,8,0,8,0
book-plus-payment-service,com.bookplus.payment.config,SecurityConfig,127,0,0,0,25,0,9,0,9,0
book-plus-payment-service,com.bookplus.payment.config,OpenApiConfig,3,0,0,0,1,0,1,0,1,0
book-plus-payment-service,com.bookplus.payment.config,JacksonConfig,13,0,0,0,4,0,2,0,2,0
book-plus-payment-service,com.bookplus.payment.domain.port.in,InitiatePaymentUseCase.InitiatePaymentCommand,0,18,0,0,0,1,0,1,0,1
book-plus-payment-service,com.bookplus.payment.adapter.in.messaging,OrderEventConsumer,115,0,0,0,23,0,3,0,3,0
book-plus-payment-service,com.bookplus.payment.domain.event,PaymentFailedEvent,6,18,0,0,2,7,2,1,2,1
book-plus-payment-service,com.bookplus.payment.domain.event,RefundInitiatedEvent,6,21,0,0,2,8,2,1,2,1
book-plus-payment-service,com.bookplus.payment.domain.event,PaymentInitiatedEvent,6,21,0,0,2,8,2,1,2,1
book-plus-payment-service,com.bookplus.payment.domain.event,PaymentCompletedEvent,6,21,0,0,2,8,2,1,2,1
book-plus-payment-service,com.bookplus.payment.domain.model,PaymentId,11,15,0,0,2,3,2,3,2,3
book-plus-payment-service,com.bookplus.payment.domain.model,Payment,24,177,0,2,6,45,2,11,2,10
book-plus-payment-service,com.bookplus.payment.domain.model,Money,16,27,3,3,1,6,4,2,1,2
book-plus-payment-service,com.bookplus.payment.domain.model,PaymentMethod,0,57,0,0,0,10,0,1,0,1
book-plus-payment-service,com.bookplus.payment.domain.model,PaymentStatus,0,46,0,6,0,7,0,5,0,2
book-plus-payment-service,com.bookplus.payment.application.payment,PaymentMethodResolver,27,0,0,0,7,0,4,0,4,0
book-plus-payment-service,com.bookplus.payment.application.payment,AbstractSimulatedPaymentHandler,22,0,0,0,4,0,4,0,4,0
book-plus-payment-service,com.bookplus.payment.application.payment,PayPalPaymentHandler,8,0,0,0,3,0,3,0,3,0
book-plus-payment-service,com.bookplus.payment.application.payment,YapePaymentHandler,8,0,0,0,3,0,3,0,3,0
book-plus-payment-service,com.bookplus.payment.application.payment,CashPaymentHandler,8,0,0,0,3,0,3,0,3,0
book-plus-payment-service,com.bookplus.payment.application.payment,PlinPaymentHandler,8,0,0,0,3,0,3,0,3,0
book-plus-payment-service,com.bookplus.payment.application.payment,CardPaymentHandler,10,0,0,0,3,0,3,0,3,0
